025CARTRIDGE,5.56 MILLIMETER1305-AA01Armor Piercing, M995, 200 RD belts w/M27 links, f/M249 SAW MG|A1305AA01
025CARTRIDGE,5.56 MILLIMETER1305-AA68P/N 12998736; Short Range, M862: Packed 20-CTS/Carton; 41-Cartons/Container, M2A1; 2-Container, M2A1/Box, Wirebound (Total 1640 Ctgs/Box, Wirebound)|A1305AA68
025CARTRIDGE,5.56 MILLIMETER1305-AA69P/N 12991890, Armor Piercing, M995; Packed 10 Ctgs/10 round clip; 3 clips/carton; 4-cartons/bandoleer, M8 with magazine filler; 7-bandoleers/box, ammunition, M2A1; 2-Box, Wirebound (Total 1680 ctgs/box,Wirebound)|A1305AA69
025CARTRIDGE,5.56 MILLIMETER1305-AA70Short Range Training Ammunition (SRTA), M862, Packed 200 Ctgs/Belt.|A1305AA70
023CARTRIDGE,30 MILLIMETER1305-AA71CARTRIDGE, 30 MILLIMETER X 173, LINKED, ARMOR PIERCING FIN STABILIZED DISCARDING SABOT-TRACED (APFSDS-T), MK258 MOD 0, IN 15 RND BELT W/BOEING BMII LINK FOR MK44 GUN.|A1305AA71
023CARTRIDGE,30 MILLIMETER1305-AA72CARTRIDGE, 30 MILLIMETER X 173, LINKED, ARMOR PIERCING FIN STABILIZED DISCARDING SABOT-TRACED (APFSDS-T), MK268 MOD 0, IN 15 RND BELT W/BOEING BMII LINK FOR MK44 GUN.|A1305AA72
032CARTRIDGE,20 MILLIMETER,PRACTICE1305-AA794 target Practice PGU-27A/B and 1 target practice-tracer, PGU-30A/B.  Pkgd 100 Rds (Link Pack) with M14A2 Link and M548 container for Automatic Cannon M61A1, M61A2, M197 and XM301.|A1305AA79
036CARTRIDGE,12 GAGE SHOTGUN,NON-LETHAL1305-AA80CARTRIDGE, 12GA. 3 INCH RUBBER BATON, FIN STABILIZED NON-LETHAL, DWG/PART/REF:HS/OEMC/SPEC/00023 GAGE: 53711|A1305AA80
036CARTRIDGE,12 GAGE SHOTGUN,NON-LETHAL1305-AA81CARTRIDGE, 12GA/ 3 INCH RUBBER BALL NON-LETHAL, DWG/PART/REF: HS/OEMC/SPEC/00023, GAGE: 53711|A1305AA81
025CARTRIDGE,12 GAGE SHOTGUN1305-AA82#00 buckshot, 9 frangible pellets, lead free. 2.75 inch cartridge.|A1305AA82
023CARTRIDGE,20 MILLIMETER1305-AA8320 mm PELE (Projectile with Enhanced Lateral Effect); P/N: 1575AS121; CAGE: 98747|A1305AA83
032CARTRIDGE,25 MILLIMETER,PRACTICE1305-AA84Target Practice, Discarding Sabot with Tracer (TPDS-T), M910A1|A1305AA84
025CARTRIDGE,5.56 MILLIMETER1305-AA85Frangible, Linked, f/MG SAW M249|A1305AA85
025CARTRIDGE,12 GAGE SHOTGUN1305-AA86MARK 286 MOD 0, #00 BUCKSHOT, FRANGIBLE, 2 3/4 INCH, P/N: 9390438, CAGE: 19200|A1305AA86
022CARTRIDGE,9 MILLIMETER1305-AA87Winchester 9x21mm with a 122 grain, lead truncated cone bullet.|A1305AA87
022CARTRIDGE,9 MILLIMETER1305-AA88Winchester 9x21mm with a 124 grain, full metal jacketed bullet.|A1305AA88
023CARTRIDGE,30 MILLIMETER1305-AA89CARTRIDGE, 30MM X 173, LINKED.  TWO TYPES OF CRTRIDGES: 1) HIGH EXPLOSIVE INCENDIARY-TRACED (HEI-T) MK 266 MOD 1, 2) MULTI-PURPOSE LOW DRAG-TRACER (MPLD-T) MK 264 MOD 0.  THESE 2 TYPES ALTERNATE IN 15 RND BELT W/ MK15 LINK.  LAST CARTRIDGE IS HEI-T.|A1305AA89
032CARTRIDGE,30 MILLIMETER,PRACTICE1305-AA90CARTRIDGE, 30 MILLIMETER X 173, TARGET PRACTICE-TRACED(TP-T) LINKED, MK239 MOD 0, IN 15 RND BELT W/BOEING BMII LINK.|A1305AA90
025CARTRIDGE,5.56 MILLIMETER1305-AA91CARTRIDGE, 5.56 MM, MK289 MOD0, BLUE FX MARKING; DWG/PART/REF: 7624842; CAGE: 53711|A1305AA91
025CARTRIDGE,5.56 MILLIMETER1305-AA92CARTRIDGE, 5.56 MM, MK289 MOD0, RED FX MARKING; DWG/PART/REF: 7624843; CAGE: 53711|A1305AA92
023CARTRIDGE,30 MILLIMETER1305-AA93CARTRIDGE, 30MM X 173 LINKED, HIGH EXPLOSIVE INCENDIARY-TRACER (HEI-T) MK238 MOD 0|A1305AA93
032CARTRIDGE,30 MILLIMETER,PRACTICE1305-AA94CARTRIDGE, 30MM X 173 LINKED, TARGET PRACTICE (TP), PGU-15/B, IN 15RND BELT W/BOEING BM11 LINK FOR MK 44 GUN.|A1305AA94
023CARTRIDGE,30 MILLIMETER1305-AA95HEI, PGU-13/B, Percussion, Linked, f/MK44 Cannon, RH Feed|A1305AA95
023CARTRIDGE,20 MILLIMETER1305-AA96CARTRIDGE 20MM HEIT-SD (HIGH EXPLOSIVE INCENDIARY-TRACER, SELF DESTRUCT); 100 Rounds Linked in MK7 Links; For use against Mortars.|A1305AA96
023CARTRIDGE,30 MILLIMETER1305-AA97HEI, PGU-13/B, Percussion, Clipped, F/MK44 Cannon.|A1305AA97
023CARTRIDGE,25 MILLIMETER1305-AA98LINKED, 1 HEI-T MK210 MOD1 OR 2, 1 SAPHEI-T PGU-32U, W/M28 LINKS, PKG 55 RNDS PER BELT|A1305AA98
025CARTRIDGE,5.56 MILLIMETER1305-AA99MK301 Mod 0, Dim Tracer in 10 Rd Clip.|A1305AA99
023CARTRIDGE,30 MILLIMETER1305-AB01CARTRIDGE, 30MM X 173 LINKED HIGH EXPLOSIVE INCENDIARY TRACED (HEI-T) MK238 MOD 1, IN 15 RND BELTS W/MK 15 LINK FOR MK 44 GUN.|A1305AB01
023CARTRIDGE,30 MILLIMETER1305-AB02CARTRIDGE, 30MM X 173 LINKED HIGH EXPLOSIVE INCENDIARY TRACED (HEI-T) MK238 MOD 2, IN 15 RND BELTS W/MK 15 LINK FOR MK 44 GUN.|A1305AB02
025CARTRIDGE,5.56 MILLIMETER1305-AB03CARTRIDGE, 5.56 MM BALL, M855 & DIM TRACER, MK301/0, LINKED (4:1)|A1305AB03
025CARTRIDGE,5.56 MILLIMETER1305-AB04CARTRIDGE, 5.56 MM BALL, ARMOR PIERCING, M995 & DIM TRACER, MK301/0, LINKED (4:1)|A1305AB04
025CARTRIDGE,5.56 MILLIMETER1305-AB05CARTRIDGE, 5.56MM BLUE FX MARKING; MK302 Mod 0; DWG/PART/REF: 8215542; CAGE: 53711|A1305AB05
025CARTRIDGE,5.56 MILLIMETER1305-AB06CARTRIDGE, 5.56MM RED FX MARKING;  MK303 MOD 0; DWG/PART/REF: 8215543; CAGE: 53711|A1305AB06
023CARTRIDGE,20 MILLIMETER1305-AB07M940 Multipurpose Tracer - Self Destruct Ammunition (MPT-SD) in MK7 Link for Mark 15 Phalanx Gun System.|A1305AB07
036CARTRIDGE,12 GAGE SHOTGUN,NON-LETHAL1305-AB08Extended Range, Drag Stabilized, Marking, XM1092, Non-Lethal 12 Gage Shotgun Cartridge|A1305AB08
034CARTRIDGE,5.56 MILLIMETER,PRACTICE1305-AB09XM1042, Blue Marking Ammunition|A1305AB09
034CARTRIDGE,5.56 MILLIMETER,PRACTICE1305-AB10XM1042, Red Marking Ammunition|A1305AB10
034CARTRIDGE,5.56 MILLIMETER,PRACTICE1305-AB11XM1042, Yellow Marking Ammunition|A1305AB11
031CARTRIDGE,9 MILLIMETER,PRACTICE1305-AB12Yellow Marking Ammunition, XM1041|A1305AB12
031CARTRIDGE,9 MILLIMETER,PRACTICE1305-AB13Blue Marking Ammunition, XM1041|A1305AB13
031CARTRIDGE,9 MILLIMETER,PRACTICE1305-AB14Red Marking Ammunition, XM1041|A1305AB14
034CARTRIDGE,5.56 MILLIMETER,PRACTICE1305-AB15Linked, Yellow Marking Cartridges, XM1071|A1305AB15
034CARTRIDGE,5.56 MILLIMETER,PRACTICE1305-AB16Linked, Marking Blue, XM1071|A1305AB16
034CARTRIDGE,5.56 MILLIMETER,PRACTICE1305-AB17Linked, Marking Red, XM1071|A1305AB17
023CARTRIDGE,30 MILLIMETER1305-AB1830 MM HEI, packed in M592 Ammo can, 30 rounds Linked configuration for use in MK44 Cannon.|A1305AB18
023CARTRIDGE,30 MILLIMETER1305-AB1930 MM HEI, packed in M592 Ammo can, 28 rounds Clipped configuration for use in MK44 Cannon.|A1305AB19
023CARTRIDGE,30 MILLIMETER1305-AB20API; PGU-14C/B for A10 GAU-8 Automatic Gun|A1305AB20
023CARTRIDGE,30 MILLIMETER1305-AB21HEI; PGU-13C/B for A10 GAU-8 Automatic Gun|A1305AB21
023CARTRIDGE,30 MILLIMETER1305-AB22HEI; PGU-13B/B for A10 GAU-8 Automatic Gun|A1305AB22
023CARTRIDGE,30 MILLIMETER1305-AB23Type Designator being assigned.  30 MM HEI, 30 rounds, linked configuration, for use in MK44 Cannon.|A1305AB23
023CARTRIDGE,30 MILLIMETER1305-AB24Type Designator being assigned.  30 MM HEI, 28 rounds, clipped configuration, for use in MK44 Cannon.|A1305AB24
023CARTRIDGE,30 MILLIMETER1305-AB25Type Designator being assigned.  30 MM HEI, 30 rounds, linked configuration, for use in MK44 Cannon.|A1305AB25
023CARTRIDGE,30 MILLIMETER1305-AB26Type Designator being assigned.  30 MM HEI, 28 rounds, clipped configuration, for use in MK44 Cannon.|A1305AB26
023CARTRIDGE,30 MILLIMETER1305-AB27Type Designator being assigned.  30 MM HEI, 30 rounds, linked configuration, for use in MK44 Cannon.|A1305AB27
023CARTRIDGE,30 MILLIMETER1305-AB28Type Designator being assigned.  30 MM HEI, 28 rounds, clipped configuration, for use in MK44 Cannon.|A1305AB28
023CARTRIDGE,20 MILLIMETER1305-AB29HEI, Modified Version of the M56 with PGU Ballistics Series Cartridge, P/N 200612863-10.  Ammo is not linked and will be in bulk configuration of 250 rounds packed in M548 container.  Ammo is used in M61A1 / A2 gun system.|A1305AB29
021CARTRIDGE,CALIBER .501305-AB30CARTRIDGE, 50 CALIBER, LINKED 4 API M8 TO 1 API-DT MK 257 MOD 0; PACKED 100 PER BELT.|A1305AB30
021CARTRIDGE,CALIBER .501305-AB31CARTRIDGE, 50 CALIBER, MATCH; DWG/PART/REF: 6552017|A1305AB31
021CARTRIDGE,CALIBER .501305-AB32Long Range Sniper Ammunition, XM1022|A1305AB32
025CARTRIDGE,5.56 MILLIMETER1305-AB33Armor Piercing, M995, for Machine Gun M249, 1440 Cartridges per Box, Fiberboard|A1305AB33
025CARTRIDGE,7.62 MILLIMETER1305-AB34Armor Piercing, M993, for Machine Gun M240, 800 Cartridges per Box, Fiberboard|A1305AB34
021CARTRIDGE,CALIBER .501305-AB35COMMERCIAL PACK FOR WEAPONS TESTING.  LINKED: 4 BALL M33 AND 1 TRACER M17.  DWG/PART/REF: 8324648; CAGE: 53711.|A1305AB35
027DUMMY CARTRIDGE,CALIBER .501305-AB36M2 Dummy .50 Caliber Cartridge, with M9 Link.|A1305AB36
036CARTRIDGE,12 GAGE SHOTGUN,NON-LETHAL1305-AB37CARTRIDGE,12 GAUGE,BEAN BAG,EXTENDED RANGE,NON-LETHAL.|A1305AB37
029DUMMY CARTRIDGE,30 MILLIMETER1305-AB3830 MM X 173 MM, LINKED W/BM11 LINKS, LINKED 15 PER BELT.|A1305AB38
025CARTRIDGE,7.62 MILLIMETER1305-AB39Special Ball, Long Range, P/N: 8330253, CAGE: 53711|A1305AB39
025CARTRIDGE,5.56 MILLIMETER1305-AB40Ball, LFS, Lead Free Slug, M855 & Tracer, M856, Linked (4:1)|A1305AB40
029DUMMY CARTRIDGE,20 MILLIMETER1305-AB41Dummy, 20MM round, PGU-41/B, F/Gun M61, M197|A1305AB41
029DUMMY CARTRIDGE,20 MILLIMETER1305-AB42Dummy, 20MM round, PGU-40/B, F/Gun M61, M197|A1305AB42
021CARTRIDGE,CALIBER .301305-AB43CTG., .300 Win Mag Match, 220 Gr, MK 248 Mod 1|A1305AB43
023CARTRIDGE,30 MILLIMETER1305-AB44Cartridge, 30MM X 173, linked, high explosive incendiary-traced, MK266 Mod 1, 15 rds/belt|A1305AB44
028DUMMY CARTRIDGE,9 MILLIMETER1305-AB45M917A1, single round, inert dummy cartridge for pistol, M9, M9A1 and M11|A1305AB45
031DUMMY CARTRIDGE,5.56 MILLIMETER1305-AB46M199A1, single round, inert dummy cartridge for Machine gun M249, Rifle M16A2/3/4, Carbine M4, M4A1|A1305AB46
031DUMMY CARTRIDGE,7.62 MILLIMETER1305-AB47M63A1, single round, inert dummy cartridge for machine gun M249B/C/EI/G,SWS M24,SASS M110|A1305AB47
027DUMMY CARTRIDGE,CALIBER .501305-AB48M2A1, single round, inert dummy cartridge for rifle, M107, and machine gun M2|A1305AB48
025CARTRIDGE,5.56 MILLIMETER1305-AB49CARTRIDGE, 5.56MM Ball, Carbine, Barrier MK 318 MOD 0|A1305AB49
025CARTRIDGE,7.62 MILLIMETER1305-AB50CARTRIDGE, 7.62MM Ball, Rifle, Barrier MK319 MOD 0|A1305AB50
032CARTRIDGE,30 MILLIMETER,PRACTICE1305-AB51Ctg., 30MM X 173, Linked, Armor Piercing Fin Stabilized Discarding Sabot-Traced (ADFSDS-T), MK 258 MOD 1, 15/belt w/Boeing BMII Link for MK 44 Gun|A1305AB51
023CARTRIDGE,30 MILLIMETER1305-AB52AMMO AB52 CANCELLED/REPLACED BY AMMO AA90 INC 33605, ON 071009 Cartridge, 30MM, X173, Target Practice with tracer, MK239 MOD 0, packed 15 cartg/belt, link  MK15, 2 belt/container, M592                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |C1305AB52
023CARTRIDGE,30 MILLIMETER1305-AB53AMMO AB53 CANCELLED/REPLACED BY AMMO AB51 INC 33605, ON 071009 Cartridge  X173, APFSDS-T,  Armor Piercing Fin Stabilized Discarding Sabot-Tracer, MK258 MOD 1, with MK15 Link                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |C1305AB53
023CARTRIDGE,30 MILLIMETER1305-AB54AMMO AB54 CANCELLED/REPLACED BY AMMO AA72 INC 19880, ON 071009 Cartridge  X173, APFSDS-T, Armor Piercing Fin Stabilized Discarding Sabot-Tracer, MK268 MOD 0, with MK15 Link                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |C1305AB54
023CARTRIDGE,30 MILLIMETER1305-AB55Cartridge  X173, PABM-T, Programmable Airburst Munition with Tracer, MK310, with MK15 Link|A1305AB55
025CARTRIDGE,5.56 MILLIMETER1305-AB56M855A1 ball, copper slugs, link, M27, 200 round M249 Magazine Bandoleers.|A1305AB56
025CARTRIDGE,5.56 MILLIMETER1305-AB57M855A1 ball, copper slugs, 10 round clips, cartons.|A1305AB57
025CARTRIDGE,5.56 MILLIMETER1305-AB58M855A1 ball,copper slugs, 10 round clips.|A1305AB58
023CARTRIDGE,30 MILLIMETER1305-AB5930MM HEI PROJECTILE CONSTRUCTED FROM A MIL-STD-1316 COMPLIANT ATK 151LD FUZE AND A MOLDED PLASTIC ROTATING BAND; AN ALUMINUM CARTRIDGE CASE WITH BLACK POWDER FLASH TUBE, PERCUSSION PRIMER, AND PROPELLANT.|A1305AB59
025CARTRIDGE,7.62 MILLIMETER1305-AB60Short Range Training Ammunition (SRTA), Ball, M973                          CAGE 19200  P/N 13025003|A1305AB60
023CARTRIDGE,30 MILLIMETER1305-AB61Ctg., 30MM X 173, TPDS-T MK 317 MOD 0|A1305AB61
021CARTRIDGE,CALIBER .501305-AB62CTG.,.50 CALIBER, TRACER, MK 321 MOD 0, REDUCED RANGE TRAINING AMMUNITION|A1305AB62
021CARTRIDGE,CALIBER .501305-AB63Cartridge, .50 Caliber, Ball, MK322 Mod 0, Reduced Range Training Ammunition|A1305AB63
021CARTRIDGE,CALIBER .501305-AB64Cartridge,.50 Caliber, Linked, 4 Ball, MK322 Mod 0, 1 TRACER MK321 MOD 0, Reduced Range Training Ammunition|A1305AB64
